artist,song,ranking
 Willow feat. Travis Barker, “Transparent Soul”,50
 Dawn Richard, “Bussifame”,49
" Wisin, Jhay Cortez & Los Legendarios",Fiel,48
 Young Dolph & Key Glock, “Penguins”,47
 Taylor Swift, “Mr. Perfectly Fine” (Taylor’s Version),46
 Trace Lysette, “SMB”,45
 Pronoun, “I Wanna Die But I Can’t (Cuz I Gotta Keep Living)”,44
 Glass Animals, “Heat Waves”,43
 Yola, “Diamond Studded Shoes”,42
 Yung Bleu feat. Drake, “You’re Mines Still”,41
 Machine Gun Kelly x Blackbear, “My Ex’s Best Friend”,40
 Rosé, “On the Ground”,39
 Rebecca Black, “Girlfriend”,38
 Bleachers, “Stop Making This Hurt”,37
 Polo G, “Rapstar”,36
 C. Tangana & Andrés Calamaro, “Hong Kong”,35
 serpentwithfeet, “Fellowship”,34
 Durand Jones & the Indications, “Witchoo”,33
 Drake feat. Lil Baby, “Wants and Needs”,32
 WizKid feat. Tems, “Essence”,31
 Lil Tjay feat. ack, “Calling My Phone”,30
 Lucy Dacus, “Hot & Heavy”,29
 BTS, “Butter”,28
" Nicki Minaj, Drake & Lil Wayne",Seeing Green,27
 Elle King & Miranda Lambert, “Drunk (And I Don’t Wanna Go Home)”,26
 Young Thug & Gunna, “Ski”,25
 Flight Facilities & Channel Tres, “Lights Up”,24
 Ariana Grande feat. Doja Cat & Megan Thee Stallion, “34+35” (Remix),23
 Jessie Ware, “Please”,22
 Doja Cat feat. SZA, “Kiss Me More”,21
 Jazmine Sullivan, “Pick Up Your Feelings”,20
 Christian Nodal & Gera MX, “Botella Tras Botella”,19
 Pop Smoke, “What You Know Bout Love”,18
 Giveon, “Heartbreak Anniversary”,17
 Japanese Breakfast, “Be Sweet”,16
 Saweetie feat. Doja Cat, “Best Friend”,15
 H.E.R., “Fight For You”,14
 Olivia Rodrigo, “Good 4 U”,13
 Billie Eilish, “Your Power”,12
 Cardi B, “Up”,11
 Girl in Red, “Serotonin”,10
 Lil Nas X, “Montero (Call Me By Your Name)”,9
 Justin Bieber feat. Daniel Caesar & Giveon, “Peaches”,8
 SZA, “Good Days”,7
 Pooh Shiesty feat. Lil Durk, “Back in Blood”,6
 Kali Uchis, “Telepatía”,5
 Dua Lipa feat. DaBaby, “Levitating”,4
 The Weeknd & Ariana Grande, “Save Your Tears” (Remix),3
 Silk Sonic, “Leave the Door Open”,2
 Olivia Rodrigo, “Drivers License”,1
